t [s],Vol [m3],P [bar],T[ K],Q loss [W],,,,,,,,,
0,0.0012236,1.58935,420.57,118.5,,,,,,,,,
1.00E-05,0.0012237,1.58945,420.6125,118.37,,,,,,,,,
2.00E-05,0.0012236,1.589525,420.595,118.39,,,,,,,,,
3.00E-05,0.0012235,1.589625,420.575,118.53,,,,,,,,,
4.00E-05,0.0012234,1.589725,420.5625,118.68,,,,,,,,,
5.00E-05,0.0012232,1.58985,420.555,118.82,,,,,,,,,
6.00E-05,0.0012231,1.59005,420.56,118.96,,,,,,,,,
7.00E-05,0.001223,1.590275,420.57,119.1,,,,,,,,,
8.00E-05,0.0012229,1.5905,420.5925,119.24,,,,,,,,,
9.00E-05,0.0012227,1.5908,420.63,119.38,,,,,,,,,
0.0001,0.0012226,1.591125,420.6675,119.53,,,,,,,,,
0.00011,0.0012225,1.5915,420.7275,119.67,,,,,,,,,
0.00012,0.0012224,1.591875,420.795,119.81,,,,,,,,,
0.00013,0.0012222,1.592325,420.87,119.96,,,,,,,,,
0.00014,0.0012221,1.592825,420.9525,120.1,,,,,,,,,
0.00015,0.001222,1.593325,421.0425,120.25,,,,,,,,,
0.00016,0.0012219,1.59385,421.1375,120.39,,,,,,,,,
0.00017,0.0012217,1.5944,421.2375,120.54,,,,,,,,,
0.00018,0.0012216,1.594975,421.34,120.68,,,,,,,,,
0.00019,0.0012215,1.5955,421.44,120.83,,,,,,,,,
0.0002,0.0012213,1.596025,421.5325,120.98,,,,,,,,,
0.00021,0.0012212,1.59655,421.625,121.12,,,,,,,,,
0.00022,0.0012211,1.597025,421.71,121.27,,,,,,,,,
0.00023,0.001221,1.597475,421.785,121.42,,,,,,,,,
0.00024,0.0012208,1.5979,421.845,121.57,,,,,,,,,
0.00025,0.0012207,1.59825,421.895,121.72,,,,,,,,,
0.00026,0.0012206,1.59855,421.9325,121.86,,,,,,,,,
0.00027,0.0012205,1.598825,421.9525,122.01,,,,,,,,,
0.00028,0.0012203,1.599025,421.9575,122.16,,,,,,,,,
0.00029,0.0012202,1.599125,421.945,122.31,,,,,,,,,
0.0003,0.0012201,1.599175,421.92,122.46,,,,,,,,,
0.00031,0.0012199,1.599175,421.875,122.62,,,,,,,,,
0.00032,0.0012198,1.59915,421.8175,122.77,,,,,,,,,
0.00033,0.0012197,1.59905,421.745,122.92,,,,,,,,,
0.00034,0.0012195,1.5989,421.66,123.07,,,,,,,,,
0.00035,0.0012194,1.5987,421.565,123.22,,,,,,,,,
0.00036,0.0012193,1.598475,421.4625,123.38,,,,,,,,,
0.00037,0.0012191,1.59825,421.35,123.53,,,,,,,,,
0.00038,0.001219,1.597975,421.235,123.68,,,,,,,,,
0.00039,0.0012189,1.597725,421.1175,123.84,,,,,,,,,
0.0004,0.0012187,1.5974,421,123.99,,,,,,,,,
0.00041,0.0012186,1.5972,420.8875,124.15,,,,,,,,,
0.00042,0.0012185,1.596925,420.7725,124.3,,,,,,,,,
0.00043,0.0012183,1.5967,420.67,124.46,,,,,,,,,
0.00044,0.0012182,1.5965,420.5725,124.62,,,,,,,,,
0.00045,0.0012181,1.59635,420.48,124.77,,,,,,,,,
0.00046,0.0012179,1.5962,420.405,124.93,,,,,,,,,
0.00047,0.0012178,1.596125,420.3375,125.09,,,,,,,,,
0.00048,0.0012177,1.596125,420.2825,125.25,,,,,,,,,
0.00049,0.0012175,1.596125,420.2375,125.41,,,,,,,,,
0.0005,0.0012174,1.5962,420.2075,125.57,,,,,,,,,
0.00051,0.0012173,1.5963,420.19,125.73,,,,,,,,,
0.00052,0.0012171,1.596425,420.1775,125.89,,,,,,,,,
0.00053,0.001217,1.5966,420.1825,126.05,,,,,,,,,
0.00054,0.0012168,1.596825,420.1875,126.21,,,,,,,,,
0.00055,0.0012167,1.59705,420.2025,126.37,,,,,,,,,
0.00056,0.0012166,1.597325,420.2225,126.53,,,,,,,,,
0.00057,0.0012164,1.5976,420.2525,126.69,,,,,,,,,
0.00058,0.0012163,1.597875,420.2725,126.86,,,,,,,,,
0.00059,0.0012161,1.598175,420.3025,127.02,,,,,,,,,
0.0006,0.001216,1.59845,420.325,127.18,,,,,,,,,
0.00061,0.0012159,1.598725,420.3475,127.35,,,,,,,,,
0.00062,0.0012157,1.59895,420.3675,127.51,,,,,,,,,
0.00063,0.0012156,1.599225,420.3775,127.68,,,,,,,,,
0.00064,0.0012154,1.5994,420.385,127.84,,,,,,,,,
0.00065,0.0012153,1.5996,420.3825,128.01,,,,,,,,,
0.00066,0.0012151,1.599725,420.37,128.18,,,,,,,,,
0.00067,0.001215,1.5999,420.3525,128.34,,,,,,,,,
0.00068,0.0012149,1.59995,420.3325,128.51,,,,,,,,,
0.00069,0.0012147,1.60005,420.2975,128.68,,,,,,,,,
0.0007,0.0012146,1.600075,420.2575,128.85,,,,,,,,,
0.00071,0.0012144,1.600125,420.2125,129.01,,,,,,,,,
0.00072,0.0012143,1.6001,420.165,129.18,,,,,,,,,
0.00073,0.0012141,1.600075,420.1075,129.35,,,,,,,,,
0.00074,0.001214,1.60005,420.05,129.52,,,,,,,,,
0.00075,0.0012138,1.600025,419.99,129.69,,,,,,,,,
0.00076,0.0012137,1.6,419.9325,129.87,,,,,,,,,
0.00077,0.0012135,1.599975,419.875,130.04,,,,,,,,,
0.00078,0.0012134,1.59995,419.82,130.21,,,,,,,,,
0.00079,0.0012132,1.59995,419.77,130.38,,,,,,,,,
0.0008,0.0012131,1.59995,419.72,130.56,,,,,,,,,
0.00081,0.0012129,1.6,419.68,130.73,,,,,,,,,
0.00082,0.0012128,1.60005,419.645,130.9,,,,,,,,,
0.00083,0.0012126,1.60015,419.615,131.08,,,,,,,,,
0.00084,0.0012125,1.600275,419.5975,131.25,,,,,,,,,
0.00085,0.0012123,1.600425,419.5825,131.43,,,,,,,,,
0.00086,0.0012122,1.600575,419.575,131.6,,,,,,,,,
0.00087,0.001212,1.6008,419.575,131.78,,,,,,,,,
0.00088,0.0012119,1.601025,419.585,131.96,,,,,,,,,
0.00089,0.0012117,1.601275,419.5975,132.14,,,,,,,,,
0.0009,0.0012116,1.60155,419.6125,132.31,,,,,,,,,
0.00091,0.0012114,1.6018,419.635,132.49,,,,,,,,,
0.00092,0.0012113,1.6021,419.6625,132.67,,,,,,,,,
0.00093,0.0012111,1.602425,419.69,132.85,,,,,,,,,
0.00094,0.001211,1.602775,419.72,133.03,,,,,,,,,
0.00095,0.0012108,1.603075,419.7525,133.21,,,,,,,,,
0.00096,0.0012106,1.603375,419.7825,133.39,,,,,,,,,
0.00097,0.0012105,1.60375,419.815,133.57,,,,,,,,,
0.00098,0.0012103,1.604075,419.8375,133.75,,,,,,,,,
0.00099,0.0012102,1.60435,419.8675,133.94,,,,,,,,,
0.001,0.00121,1.604625,419.8875,134.12,,,,,,,,,
0.00101,0.0012099,1.6049,419.9075,134.3,,,,,,,,,
0.00102,0.0012097,1.605175,419.92,134.49,,,,,,,,,
0.00103,0.0012095,1.605425,419.935,134.67,,,,,,,,,
0.00104,0.0012094,1.6057,419.9375,134.85,,,,,,,,,
0.00105,0.0012092,1.6059,419.9425,135.04,,,,,,,,,
0.00106,0.0012091,1.6061,419.9475,135.23,,,,,,,,,
0.00107,0.0012089,1.60635,419.945,135.41,,,,,,,,,
0.00108,0.0012087,1.60655,419.94,135.6,,,,,,,,,
0.00109,0.0012086,1.6067,419.9375,135.79,,,,,,,,,
0.0011,0.0012084,1.6069,419.9275,135.97,,,,,,,,,
0.00111,0.0012083,1.607075,419.925,136.16,,,,,,,,,
0.00112,0.0012081,1.607275,419.9125,136.35,,,,,,,,,
0.00113,0.0012079,1.607475,419.9075,136.54,,,,,,,,,
0.00114,0.0012078,1.60765,419.8975,136.73,,,,,,,,,
0.00115,0.0012076,1.60785,419.8925,136.92,,,,,,,,,
0.00116,0.0012075,1.608025,419.885,137.11,,,,,,,,,
0.00117,0.0012073,1.608225,419.88,137.3,,,,,,,,,
0.00118,0.0012071,1.6084,419.87,137.49,,,,,,,,,
0.00119,0.001207,1.608625,419.865,137.68,,,,,,,,,
0.0012,0.0012068,1.6088,419.8575,137.88,,,,,,,,,
0.00121,0.0012066,1.609,419.8525,138.07,,,,,,,,,
0.00122,0.0012065,1.609175,419.845,138.26,,,,,,,,,
0.00123,0.0012063,1.609325,419.835,138.46,,,,,,,,,
0.00124,0.0012061,1.6095,419.8225,138.65,,,,,,,,,
0.00125,0.001206,1.6097,419.8075,138.85,,,,,,,,,
0.00126,0.0012058,1.60985,419.785,139.04,,,,,,,,,
0.00127,0.0012056,1.609975,419.7625,139.24,,,,,,,,,
0.00128,0.0012055,1.6101,419.735,139.43,,,,,,,,,
0.00129,0.0012053,1.61015,419.7025,139.63,,,,,,,,,
0.0013,0.0012051,1.610225,419.6625,139.83,,,,,,,,,
0.00131,0.001205,1.610325,419.62,140.03,,,,,,,,,
0.00132,0.0012048,1.610325,419.57,140.22,,,,,,,,,
0.00133,0.0012046,1.61035,419.515,140.42,,,,,,,,,
0.00134,0.0012044,1.610375,419.4575,140.62,,,,,,,,,
0.00135,0.0012043,1.61035,419.3975,140.82,,,,,,,,,
0.00136,0.0012041,1.610325,419.33,141.02,,,,,,,,,
0.00137,0.0012039,1.610275,419.2575,141.22,,,,,,,,,
0.00138,0.0012038,1.610275,419.19,141.42,,,,,,,,,
0.00139,0.0012036,1.6102,419.1225,141.63,,,,,,,,,
0.0014,0.0012034,1.6102,419.0525,141.83,,,,,,,,,
0.00141,0.0012032,1.61015,418.985,142.03,,,,,,,,,
0.00142,0.0012031,1.61015,418.9225,142.23,,,,,,,,,
0.00143,0.0012029,1.61015,418.865,142.44,,,,,,,,,
0.00144,0.0012027,1.61015,418.8125,142.64,,,,,,,,,
0.00145,0.0012025,1.61025,418.7675,142.85,,,,,,,,,
0.00146,0.0012024,1.610325,418.7325,143.05,,,,,,,,,
0.00147,0.0012022,1.61045,418.7025,143.26,,,,,,,,,
0.00148,0.001202,1.61065,418.685,143.47,,,,,,,,,
0.00149,0.0012018,1.610825,418.6775,143.67,,,,,,,,,
0.0015,0.0012017,1.61105,418.68,143.88,,,,,,,,,
0.00151,0.0012015,1.61135,418.695,144.09,,,,,,,,,
0.00152,0.0012013,1.6117,418.715,144.3,,,,,,,,,
0.00153,0.0012011,1.61205,418.75,144.5,,,,,,,,,
0.00154,0.001201,1.612475,418.7925,144.71,,,,,,,,,
0.00155,0.0012008,1.612925,418.8475,144.92,,,,,,,,,
0.00156,0.0012006,1.613375,418.91,145.13,,,,,,,,,
0.00157,0.0012004,1.6139,418.975,145.34,,,,,,,,,
0.00158,0.0012002,1.6144,419.05,145.56,,,,,,,,,
0.00159,0.0012001,1.61495,419.13,145.77,,,,,,,,,
0.0016,0.0011999,1.615525,419.2075,145.98,,,,,,,,,
0.00161,0.0011997,1.616075,419.2925,146.19,,,,,,,,,
0.00162,0.0011995,1.61665,419.3775,146.41,,,,,,,,,
0.00163,0.0011993,1.617225,419.46,146.62,,,,,,,,,
0.00164,0.0011992,1.6178,419.545,146.83,,,,,,,,,
0.00165,0.001199,1.61835,419.6275,147.05,,,,,,,,,
0.00166,0.0011988,1.6189,419.705,147.26,,,,,,,,,
0.00167,0.0011986,1.6194,419.78,147.48,,,,,,,,,
0.00168,0.0011984,1.61995,419.8525,147.7,,,,,,,,,
0.00169,0.0011982,1.62045,419.915,147.91,,,,,,,,,
0.0017,0.0011981,1.620975,419.9775,148.13,,,,,,,,,
0.00171,0.0011979,1.6214,420.0325,148.35,,,,,,,,,
0.00172,0.0011977,1.62185,420.085,148.56,,,,,,,,,
0.00173,0.0011975,1.6223,420.135,148.78,,,,,,,,,
0.00174,0.0011973,1.62275,420.1825,149,,,,,,,,,
0.00175,0.0011971,1.623175,420.2275,149.22,,,,,,,,,
0.00176,0.0011969,1.6236,420.27,149.44,,,,,,,,,
0.00177,0.0011968,1.623975,420.31,149.66,,,,,,,,,
0.00178,0.0011966,1.624425,420.3525,149.88,,,,,,,,,
0.00179,0.0011964,1.624825,420.3925,150.11,,,,,,,,,
0.0018,0.0011962,1.62525,420.44,150.33,,,,,,,,,
0.00181,0.001196,1.62575,420.49,150.55,,,,,,,,,
0.00182,0.0011958,1.626175,420.54,150.77,,,,,,,,,
0.00183,0.0011956,1.626675,420.5975,151,,,,,,,,,
0.00184,0.0011954,1.62715,420.6575,151.22,,,,,,,,,
0.00185,0.0011953,1.62765,420.725,151.45,,,,,,,,,
0.00186,0.0011951,1.62825,420.8025,151.67,,,,,,,,,
0.00187,0.0011949,1.628775,420.8775,151.9,,,,,,,,,
0.00188,0.0011947,1.629375,420.9625,152.12,,,,,,,,,
0.00189,0.0011945,1.629975,421.05,152.35,,,,,,,,,
0.0019,0.0011943,1.630625,421.145,152.58,,,,,,,,,
0.00191,0.0011941,1.63125,421.24,152.8,,,,,,,,,
0.00192,0.0011939,1.6319,421.34,153.03,,,,,,,,,
0.00193,0.0011937,1.63255,421.445,153.26,,,,,,,,,
0.00194,0.0011935,1.633225,421.5475,153.49,,,,,,,,,
0.00195,0.0011933,1.633875,421.6475,153.72,,,,,,,,,
0.00196,0.0011931,1.63455,421.7475,153.95,,,,,,,,,
0.00197,0.0011929,1.635175,421.8475,154.18,,,,,,,,,
0.00198,0.0011927,1.6358,421.935,154.41,,,,,,,,,
0.00199,0.0011926,1.6364,422.02,154.64,,,,,,,,,
0.002,0.0011924,1.63695,422.0975,154.87,,,,,,,,,
0.00201,0.0011922,1.6375,422.165,155.11,,,,,,,,,
0.00202,0.001192,1.638,422.2225,155.34,,,,,,,,,
0.00203,0.0011918,1.638475,422.2725,155.57,,,,,,,,,
0.00204,0.0011916,1.63885,422.305,155.81,,,,,,,,,
0.00205,0.0011914,1.639225,422.33,156.04,,,,,,,,,
0.00206,0.0011912,1.63955,422.34,156.28,,,,,,,,,
0.00207,0.001191,1.6398,422.3375,156.51,,,,,,,,,
0.00208,0.0011908,1.64,422.32,156.75,,,,,,,,,
0.00209,0.0011906,1.6402,422.29,156.98,,,,,,,,,
0.0021,0.0011904,1.64025,422.25,157.22,,,,,,,,,
0.00211,0.0011902,1.64035,422.2025,157.46,,,,,,,,,
0.00212,0.00119,1.6404,422.14,157.69,,,,,,,,,
0.00213,0.0011898,1.6404,422.0725,157.93,,,,,,,,,
0.00214,0.0011896,1.6404,421.9975,158.17,,,,,,,,,
0.00215,0.0011894,1.64035,421.92,158.41,,,,,,,,,
0.00216,0.0011892,1.640325,421.8375,158.65,,,,,,,,,
0.00217,0.001189,1.6403,421.7525,158.89,,,,,,,,,
0.00218,0.0011888,1.64025,421.67,159.13,,,,,,,,,
0.00219,0.0011886,1.640225,421.5925,159.37,,,,,,,,,
0.0022,0.0011884,1.6402,421.5175,159.62,,,,,,,,,
0.00221,0.0011882,1.640225,421.455,159.86,,,,,,,,,
0.00222,0.001188,1.640275,421.3975,160.1,,,,,,,,,
0.00223,0.0011878,1.640375,421.35,160.35,,,,,,,,,
0.00224,0.0011876,1.640525,421.3125,160.59,,,,,,,,,
0.00225,0.0011874,1.640725,421.2875,160.83,,,,,,,,,
0.00226,0.0011871,1.64095,421.275,161.08,,,,,,,,,
0.00227,0.0011869,1.641225,421.275,161.32,,,,,,,,,
0.00228,0.0011867,1.641575,421.2875,161.57,,,,,,,,,
0.00229,0.0011865,1.64195,421.315,161.82,,,,,,,,,
0.0023,0.0011863,1.642375,421.3525,162.06,,,,,,,,,
0.00231,0.0011861,1.64285,421.395,162.31,,,,,,,,,
0.00232,0.0011859,1.643375,421.4525,162.56,,,,,,,,,
0.00233,0.0011857,1.643875,421.5125,162.81,,,,,,,,,
0.00234,0.0011855,1.644475,421.585,163.06,,,,,,,,,
0.00235,0.0011853,1.644975,421.6525,163.31,,,,,,,,,
0.00236,0.0011851,1.64555,421.725,163.56,,,,,,,,,
0.00237,0.0011849,1.64615,421.795,163.81,,,,,,,,,
0.00238,0.0011847,1.6467,421.8575,164.06,,,,,,,,,
0.00239,0.0011844,1.6472,421.92,164.31,,,,,,,,,
0.0024,0.0011842,1.6477,421.9675,164.56,,,,,,,,,
0.00241,0.001184,1.648125,422.0075,164.81,,,,,,,,,
0.00242,0.0011838,1.6485,422.0325,165.07,,,,,,,,,
0.00243,0.0011836,1.648875,422.045,165.32,,,,,,,,,
0.00244,0.0011834,1.649125,422.04,165.57,,,,,,,,,
0.00245,0.0011832,1.64935,422.0225,165.83,,,,,,,,,
0.00246,0.001183,1.6495,421.9825,166.08,,,,,,,,,
0.00247,0.0011828,1.649625,421.93,166.34,,,,,,,,,
0.00248,0.0011825,1.649625,421.86,166.6,,,,,,,,,
0.00249,0.0011823,1.649575,421.7725,166.85,,,,,,,,,
0.0025,0.0011821,1.6495,421.6725,167.11,,,,,,,,,
0.00251,0.0011819,1.64935,421.56,167.37,,,,,,,,,
0.00252,0.0011817,1.64915,421.4325,167.62,,,,,,,,,
0.00253,0.0011815,1.648925,421.3,167.88,,,,,,,,,
0.00254,0.0011813,1.64865,421.1575,168.14,,,,,,,,,
0.00255,0.001181,1.648425,421.0125,168.4,,,,,,,,,
0.00256,0.0011808,1.648125,420.8675,168.66,,,,,,,,,
0.00257,0.0011806,1.647875,420.7225,168.92,,,,,,,,,
0.00258,0.0011804,1.647625,420.58,169.18,,,,,,,,,
0.00259,0.0011802,1.6474,420.4475,169.45,,,,,,,,,
0.0026,0.00118,1.647225,420.3225,169.71,,,,,,,,,
0.00261,0.0011797,1.647075,420.2125,169.97,,,,,,,,,
0.00262,0.0011795,1.646975,420.1125,170.23,,,,,,,,,
0.00263,0.0011793,1.646975,420.0325,170.5,,,,,,,,,
0.00264,0.0011791,1.647025,419.9675,170.76,,,,,,,,,
0.00265,0.0011789,1.647125,419.92,171.03,,,,,,,,,
0.00266,0.0011786,1.64735,419.895,171.29,,,,,,,,,
0.00267,0.0011784,1.6476,419.8875,171.56,,,,,,,,,
0.00268,0.0011782,1.64795,419.8975,171.82,,,,,,,,,
0.00269,0.001178,1.648425,419.93,172.09,,,,,,,,,
0.0027,0.0011778,1.648925,419.9825,172.36,,,,,,,,,
0.00271,0.0011775,1.649525,420.0475,172.62,,,,,,,,,
0.00272,0.0011773,1.650125,420.1325,172.89,,,,,,,,,
0.00273,0.0011771,1.650825,420.2325,173.16,,,,,,,,,
0.00274,0.0011769,1.651575,420.3375,173.43,,,,,,,,,
0.00275,0.0011767,1.65235,420.46,173.7,,,,,,,,,
0.00276,0.0011764,1.653125,420.585,173.97,,,,,,,,,
0.00277,0.0011762,1.654,420.7125,174.24,,,,,,,,,
0.00278,0.001176,1.654825,420.845,174.51,,,,,,,,,
0.00279,0.0011758,1.65565,420.9775,174.79,,,,,,,,,
0.0028,0.0011755,1.656475,421.1075,175.06,,,,,,,,,
0.00281,0.0011753,1.657275,421.23,175.33,,,,,,,,,
0.00282,0.0011751,1.65805,421.35,175.6,,,,,,,,,
0.00283,0.0011749,1.6588,421.455,175.88,,,,,,,,,
0.00284,0.0011746,1.659475,421.555,176.15,,,,,,,,,
0.00285,0.0011744,1.660175,421.6425,176.43,,,,,,,,,
0.00286,0.0011742,1.6608,421.72,176.7,,,,,,,,,
0.00287,0.001174,1.66135,421.7825,176.98,,,,,,,,,
0.00288,0.0011737,1.6619,421.8325,177.25,,,,,,,,,
0.00289,0.0011735,1.6624,421.875,177.53,,,,,,,,,
0.0029,0.0011733,1.66285,421.905,177.81,,,,,,,,,
0.00291,0.0011731,1.663225,421.9275,178.09,,,,,,,,,
0.00292,0.0011728,1.6636,421.9375,178.36,,,,,,,,,
0.00293,0.0011726,1.66395,421.9425,178.64,,,,,,,,,
0.00294,0.0011724,1.6643,421.94,178.92,,,,,,,,,
0.00295,0.0011721,1.664575,421.94,179.2,,,,,,,,,
0.00296,0.0011719,1.6649,421.9375,179.48,,,,,,,,,
0.00297,0.0011717,1.665225,421.935,179.76,,,,,,,,,
0.00298,0.0011714,1.665575,421.935,180.04,,,,,,,,,
0.00299,0.0011712,1.665875,421.945,180.33,,,,,,,,,
0.003,0.001171,1.6663,421.9575,180.61,,,,,,,,,
0.00301,0.0011708,1.666725,421.98,180.89,,,,,,,,,
0.00302,0.0011705,1.667175,422.015,181.17,,,,,,,,,
0.00303,0.0011703,1.667675,422.06,181.46,,,,,,,,,
0.00304,0.0011701,1.66825,422.12,181.74,,,,,,,,,
0.00305,0.0011698,1.668875,422.19,182.03,,,,,,,,,
0.00306,0.0011696,1.66955,422.275,182.31,,,,,,,,,
0.00307,0.0011694,1.670275,422.3725,182.6,,,,,,,,,
0.00308,0.0011691,1.67105,422.4825,182.89,,,,,,,,,
0.00309,0.0011689,1.67185,422.605,183.17,,,,,,,,,
0.0031,0.0011687,1.6727,422.74,183.46,,,,,,,,,
0.00311,0.0011684,1.6736,422.8775,183.75,,,,,,,,,
0.00312,0.0011682,1.6745,423.025,184.04,,,,,,,,,
0.00313,0.0011679,1.675475,423.1775,184.32,,,,,,,,,
0.00314,0.0011677,1.676425,423.3325,184.61,,,,,,,,,
0.00315,0.0011675,1.677375,423.49,184.9,,,,,,,,,
0.00316,0.0011672,1.67835,423.645,185.19,,,,,,,,,
0.00317,0.001167,1.679275,423.7975,185.49,,,,,,,,,
0.00318,0.0011668,1.6802,423.9425,185.78,,,,,,,,,
0.00319,0.0011665,1.681075,424.0825,186.07,,,,,,,,,
0.0032,0.0011663,1.681925,424.21,186.36,,,,,,,,,
0.00321,0.001166,1.68275,424.3275,186.65,,,,,,,,,
0.00322,0.0011658,1.683525,424.4325,186.95,,,,,,,,,
0.00323,0.0011656,1.684225,424.525,187.24,,,,,,,,,
0.00324,0.0011653,1.6849,424.605,187.54,,,,,,,,,
0.00325,0.0011651,1.6855,424.67,187.83,,,,,,,,,
0.00326,0.0011649,1.68605,424.725,188.13,,,,,,,,,
0.00327,0.0011646,1.686575,424.77,188.42,,,,,,,,,
0.00328,0.0011644,1.68705,424.7975,188.72,,,,,,,,,
0.00329,0.0011641,1.6875,424.815,189.02,,,,,,,,,
0.0033,0.0011639,1.687875,424.8275,189.31,,,,,,,,,
0.00331,0.0011636,1.68825,424.83,189.61,,,,,,,,,
0.00332,0.0011634,1.6886,424.8275,189.91,,,,,,,,,
0.00333,0.0011632,1.68895,424.8225,190.21,,,,,,,,,
0.00334,0.0011629,1.68925,424.8175,190.51,,,,,,,,,
0.00335,0.0011627,1.689575,424.8125,190.81,,,,,,,,,
0.00336,0.0011624,1.68995,424.8125,191.11,,,,,,,,,
0.00337,0.0011622,1.6903,424.815,191.41,,,,,,,,,
0.00338,0.0011619,1.6907,424.8225,191.71,,,,,,,,,
0.00339,0.0011617,1.691125,424.8375,192.01,,,,,,,,,
0.0034,0.0011615,1.691575,424.8625,192.32,,,,,,,,,
0.00341,0.0011612,1.69205,424.8975,192.62,,,,,,,,,
0.00342,0.001161,1.6926,424.94,192.92,,,,,,,,,
0.00343,0.0011607,1.69315,424.995,193.23,,,,,,,,,
0.00344,0.0011605,1.693775,425.055,193.53,,,,,,,,,
0.00345,0.0011602,1.694425,425.1275,193.84,,,,,,,,,
0.00346,0.00116,1.695075,425.205,194.14,,,,,,,,,
0.00347,0.0011597,1.6958,425.295,194.45,,,,,,,,,
0.00348,0.0011595,1.696525,425.3875,194.76,,,,,,,,,
0.00349,0.0011592,1.6973,425.48,195.06,,,,,,,,,
0.0035,0.001159,1.69805,425.58,195.37,,,,,,,,,
0.00351,0.0011587,1.6988,425.6775,195.68,,,,,,,,,
0.00352,0.0011585,1.69955,425.7725,195.99,,,,,,,,,
0.00353,0.0011582,1.7003,425.8675,196.3,,,,,,,,,
0.00354,0.001158,1.701,425.955,196.61,,,,,,,,,
0.00355,0.0011577,1.7017,426.035,196.92,,,,,,,,,
0.00356,0.0011575,1.70235,426.1075,197.23,,,,,,,,,
0.00357,0.0011572,1.702975,426.1725,197.54,,,,,,,,,
0.00358,0.001157,1.703525,426.2225,197.85,,,,,,,,,
0.00359,0.0011567,1.704075,426.2675,198.17,,,,,,,,,
0.0036,0.0011565,1.704575,426.3,198.48,,,,,,,,,
0.00361,0.0011562,1.70505,426.3225,198.79,,,,,,,,,
0.00362,0.001156,1.70545,426.3325,199.11,,,,,,,,,
0.00363,0.0011557,1.705825,426.33,199.42,,,,,,,,,
0.00364,0.0011555,1.706175,426.3275,199.74,,,,,,,,,
0.00365,0.0011552,1.7065,426.31,200.05,,,,,,,,,
0.00366,0.001155,1.7068,426.29,200.37,,,,,,,,,
0.00367,0.0011547,1.70705,426.265,200.68,,,,,,,,,
0.00368,0.0011545,1.707325,426.2375,201,,,,,,,,,
0.00369,0.0011542,1.7076,426.21,201.32,,,,,,,,,
0.0037,0.001154,1.70785,426.18,201.64,,,,,,,,,
0.00371,0.0011537,1.708125,426.1525,201.96,,,,,,,,,
0.00372,0.0011534,1.7084,426.135,202.27,,,,,,,,,
0.00373,0.0011532,1.708725,426.1225,202.59,,,,,,,,,
0.00374,0.0011529,1.709075,426.1125,202.91,,,,,,,,,
0.00375,0.0011527,1.70945,426.11,203.24,,,,,,,,,
0.00376,0.0011524,1.709875,426.12,203.56,,,,,,,,,
0.00377,0.0011522,1.71035,426.1375,203.88,,,,,,,,,
0.00378,0.0011519,1.71085,426.165,204.2,,,,,,,,,
0.00379,0.0011516,1.711375,426.2075,204.52,,,,,,,,,
0.0038,0.0011514,1.71195,426.2525,204.85,,,,,,,,,
0.00381,0.0011511,1.71255,426.3075,205.17,,,,,,,,,
0.00382,0.0011509,1.7132,426.375,205.5,,,,,,,,,
0.00383,0.0011506,1.7139,426.445,205.82,,,,,,,,,
0.00384,0.0011503,1.714575,426.525,206.15,,,,,,,,,
0.00385,0.0011501,1.7153,426.6075,206.47,,,,,,,,,
0.00386,0.0011498,1.71605,426.6925,206.8,,,,,,,,,
0.00387,0.0011496,1.716775,426.7825,207.13,,,,,,,,,
0.00388,0.0011493,1.717525,426.87,207.45,,,,,,,,,
0.00389,0.001149,1.718275,426.955,207.78,,,,,,,,,
0.0039,0.0011488,1.719,427.0375,208.11,,,,,,,,,
0.00391,0.0011485,1.719725,427.115,208.44,,,,,,,,,
0.00392,0.0011483,1.7204,427.19,208.77,,,,,,,,,
0.00393,0.001148,1.72105,427.255,209.1,,,,,,,,,
0.00394,0.0011477,1.7217,427.315,209.43,,,,,,,,,
0.00395,0.0011475,1.7223,427.3675,209.76,,,,,,,,,
0.00396,0.0011472,1.72285,427.4125,210.09,,,,,,,,,
0.00397,0.0011469,1.723425,427.4525,210.42,,,,,,,,,
0.00398,0.0011467,1.72395,427.48,210.76,,,,,,,,,
0.00399,0.0011464,1.7244,427.5,211.09,,,,,,,,,
0.004,0.0011461,1.724875,427.515,211.42,,,,,,,,,
0.00401,0.0011459,1.725325,427.5225,211.76,,,,,,,,,
0.00402,0.0011456,1.72575,427.5275,212.09,,,,,,,,,
0.00403,0.0011453,1.726125,427.53,212.43,,,,,,,,,
0.00404,0.0011451,1.726525,427.53,212.77,,,,,,,,,
0.00405,0.0011448,1.726925,427.5275,213.1,,,,,,,,,
0.00406,0.0011445,1.7273,427.5225,213.44,,,,,,,,,
0.00407,0.0011443,1.72775,427.5225,213.78,,,,,,,,,
0.00408,0.001144,1.72815,427.5275,214.12,,,,,,,,,
0.00409,0.0011437,1.728575,427.535,214.45,,,,,,,,,
0.0041,0.0011435,1.729025,427.5475,214.79,,,,,,,,,
0.00411,0.0011432,1.729525,427.5675,215.13,,,,,,,,,
0.00412,0.0011429,1.73005,427.595,215.47,,,,,,,,,
0.00413,0.0011427,1.730575,427.625,215.81,,,,,,,,,
0.00414,0.0011424,1.731175,427.67,216.16,,,,,,,,,
0.00415,0.0011421,1.731775,427.725,216.5,,,,,,,,,
0.00416,0.0011419,1.73245,427.785,216.84,,,,,,,,,
0.00417,0.0011416,1.73315,427.855,217.18,,,,,,,,,
