t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,,,,
0,0.0012237,1.58095,421.085,213.318,,,,,,,,,
1.00E-05,0.0012237,1.58095,421.095,213.27075,,,,,,,,,
2.00E-05,0.0012235,1.581,421.06,213.255,,,,,,,,,
3.00E-05,0.0012234,1.581,421.02,213.49125,,,,,,,,,
4.00E-05,0.0012233,1.58105,420.985,213.7275,,,,,,,,,
5.00E-05,0.0012232,1.581,420.945,213.96375,,,,,,,,,
6.00E-05,0.001223,1.5811,420.905,214.2,,,,,,,,,
7.00E-05,0.0012229,1.5811,420.865,214.43625,,,,,,,,,
8.00E-05,0.0012228,1.5811,420.825,214.6725,,,,,,,,,
9.00E-05,0.0012227,1.5811,420.79,214.90875,,,,,,,,,
0.0001,0.0012225,1.5811,420.75,215.145,,,,,,,,,
0.00011,0.0012224,1.5811,420.71,215.397,,,,,,,,,
0.00012,0.0012223,1.58115,420.67,215.63325,,,,,,,,,
0.00013,0.0012222,1.58115,420.63,215.8695,,,,,,,,,
0.00014,0.001222,1.58115,420.585,216.1215,,,,,,,,,
0.00015,0.0012219,1.58115,420.54,216.35775,,,,,,,,,
0.00016,0.0012218,1.58115,420.495,216.594,,,,,,,,,
0.00017,0.0012216,1.58115,420.455,216.846,,,,,,,,,
0.00018,0.0012215,1.58115,420.41,217.098,,,,,,,,,
0.00019,0.0012214,1.58115,420.365,217.33425,,,,,,,,,
0.0002,0.0012213,1.5811,420.315,217.58625,,,,,,,,,
0.00021,0.0012211,1.5811,420.265,217.8225,,,,,,,,,
0.00022,0.001221,1.5811,420.215,218.0745,,,,,,,,,
0.00023,0.0012209,1.58105,420.16,218.3265,,,,,,,,,
0.00024,0.0012207,1.581,420.11,218.5785,,,,,,,,,
0.00025,0.0012206,1.581,420.055,218.81475,,,,,,,,,
0.00026,0.0012205,1.58095,420,219.06675,,,,,,,,,
0.00027,0.0012204,1.5809,419.945,219.31875,,,,,,,,,
0.00028,0.0012202,1.58085,419.885,219.57075,,,,,,,,,
0.00029,0.0012201,1.5808,419.825,219.82275,,,,,,,,,
0.0003,0.00122,1.5807,419.765,220.07475,,,,,,,,,
0.00031,0.0012198,1.5807,419.705,220.32675,,,,,,,,,
0.00032,0.0012197,1.5806,419.64,220.5945,,,,,,,,,
0.00033,0.0012196,1.58055,419.575,220.8465,,,,,,,,,
0.00034,0.0012194,1.58045,419.515,221.0985,,,,,,,,,
0.00035,0.0012193,1.5804,419.445,221.3505,,,,,,,,,
0.00036,0.0012192,1.58035,419.385,221.61825,,,,,,,,,
0.00037,0.001219,1.58025,419.315,221.87025,,,,,,,,,
0.00038,0.0012189,1.58015,419.25,222.12225,,,,,,,,,
0.00039,0.0012188,1.5801,419.185,222.39,,,,,,,,,
0.0004,0.0012186,1.58005,419.115,222.642,,,,,,,,,
0.00041,0.0012185,1.57995,419.05,222.90975,,,,,,,,,
0.00042,0.0012183,1.57985,418.985,223.16175,,,,,,,,,
0.00043,0.0012182,1.5798,418.925,223.4295,,,,,,,,,
0.00044,0.0012181,1.57975,418.86,223.69725,,,,,,,,,
0.00045,0.0012179,1.5797,418.795,223.94925,,,,,,,,,
0.00046,0.0012178,1.57965,418.735,224.217,,,,,,,,,
0.00047,0.0012177,1.5796,418.675,224.48475,,,,,,,,,
0.00048,0.0012175,1.5796,418.62,224.7525,,,,,,,,,
0.00049,0.0012174,1.57955,418.57,225.02025,,,,,,,,,
0.0005,0.0012172,1.57955,418.52,225.288,,,,,,,,,
0.00051,0.0012171,1.5795,418.47,225.55575,,,,,,,,,
0.00052,0.001217,1.57955,418.425,225.8235,,,,,,,,,
0.00053,0.0012168,1.5796,418.385,226.09125,,,,,,,,,
0.00054,0.0012167,1.5796,418.345,226.359,,,,,,,,,
0.00055,0.0012165,1.57965,418.315,226.62675,,,,,,,,,
0.00056,0.0012164,1.57975,418.28,226.8945,,,,,,,,,
0.00057,0.0012163,1.57985,418.26,227.16225,,,,,,,,,
0.00058,0.0012161,1.5799,418.235,227.44575,,,,,,,,,
0.00059,0.001216,1.58005,418.22,227.7135,,,,,,,,,
0.0006,0.0012158,1.5802,418.205,227.997,,,,,,,,,
0.00061,0.0012157,1.58035,418.2,228.26475,,,,,,,,,
0.00062,0.0012155,1.5805,418.195,228.54825,,,,,,,,,
0.00063,0.0012154,1.5807,418.195,228.816,,,,,,,,,
0.00064,0.0012152,1.5809,418.2,229.0995,,,,,,,,,
0.00065,0.0012151,1.58115,418.21,229.36725,,,,,,,,,
0.00066,0.001215,1.58135,418.23,229.65075,,,,,,,,,
0.00067,0.0012148,1.58165,418.245,229.93425,,,,,,,,,
0.00068,0.0012147,1.58195,418.27,230.21775,,,,,,,,,
0.00069,0.0012145,1.5822,418.3,230.4855,,,,,,,,,
0.0007,0.0012144,1.58255,418.33,230.769,,,,,,,,,
0.00071,0.0012142,1.58285,418.37,231.0525,,,,,,,,,
0.00072,0.0012141,1.58325,418.415,231.336,,,,,,,,,
0.00073,0.0012139,1.5836,418.455,231.6195,,,,,,,,,
0.00074,0.0012138,1.584,418.505,231.903,,,,,,,,,
0.00075,0.0012136,1.5844,418.56,232.20225,,,,,,,,,
0.00076,0.0012135,1.5848,418.615,232.48575,,,,,,,,,
0.00077,0.0012133,1.58515,418.675,232.76925,,,,,,,,,
0.00078,0.0012132,1.5856,418.735,233.05275,,,,,,,,,
0.00079,0.001213,1.58605,418.8,233.352,,,,,,,,,
0.0008,0.0012129,1.5865,418.865,233.6355,,,,,,,,,
0.00081,0.0012127,1.587,418.935,233.919,,,,,,,,,
0.00082,0.0012126,1.58745,419.005,234.21825,,,,,,,,,
