t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,,,
0,0.0012236,1.57512,420.87,157.176,,,,,,,,
1.00E-05,0.0012237,1.57534,420.948,157.116,,,,,,,,
2.00E-05,0.0012236,1.5755,420.954,157.02,,,,,,,,
3.00E-05,0.0012235,1.57566,420.956,157.2,,,,,,,,
4.00E-05,0.0012234,1.57582,420.962,157.38,,,,,,,,
5.00E-05,0.0012232,1.576,420.958,157.548,,,,,,,,
6.00E-05,0.0012231,1.57614,420.958,157.728,,,,,,,,
7.00E-05,0.001223,1.57628,420.95,157.908,,,,,,,,
8.00E-05,0.0012229,1.57638,420.94,158.088,,,,,,,,
9.00E-05,0.0012227,1.57652,420.922,158.268,,,,,,,,
0.0001,0.0012226,1.57658,420.906,158.46,,,,,,,,
0.00011,0.0012225,1.57668,420.884,158.64,,,,,,,,
0.00012,0.0012224,1.57672,420.858,158.82,,,,,,,,
0.00013,0.0012222,1.57678,420.834,159,,,,,,,,
0.00014,0.0012221,1.57682,420.802,159.18,,,,,,,,
0.00015,0.001222,1.57688,420.77,159.372,,,,,,,,
0.00016,0.0012219,1.57694,420.746,159.552,,,,,,,,
0.00017,0.0012217,1.577,420.718,159.732,,,,,,,,
0.00018,0.0012216,1.57704,420.688,159.924,,,,,,,,
0.00019,0.0012215,1.57714,420.668,160.104,,,,,,,,
0.0002,0.0012214,1.57724,420.65,160.296,,,,,,,,
0.00021,0.0012212,1.57736,420.636,160.476,,,,,,,,
0.00022,0.0012211,1.5775,420.632,160.668,,,,,,,,
0.00023,0.001221,1.57768,420.636,160.848,,,,,,,,
0.00024,0.0012208,1.5779,420.646,161.04,,,,,,,,
0.00025,0.0012207,1.57812,420.67,161.232,,,,,,,,
0.00026,0.0012206,1.5784,420.7,161.412,,,,,,,,
0.00027,0.0012205,1.57874,420.74,161.604,,,,,,,,
0.00028,0.0012203,1.5791,420.79,161.796,,,,,,,,
0.00029,0.0012202,1.57948,420.85,161.988,,,,,,,,
0.0003,0.0012201,1.57992,420.922,162.18,,,,,,,,
0.00031,0.0012199,1.58038,421.002,162.372,,,,,,,,
0.00032,0.0012198,1.58088,421.09,162.564,,,,,,,,
0.00033,0.0012197,1.58144,421.186,162.756,,,,,,,,
0.00034,0.0012196,1.58198,421.288,162.948,,,,,,,,
0.00035,0.0012194,1.58254,421.396,163.14,,,,,,,,
0.00036,0.0012193,1.58312,421.504,163.332,,,,,,,,
0.00037,0.0012192,1.58372,421.618,163.524,,,,,,,,
0.00038,0.001219,1.58432,421.73,163.716,,,,,,,,
0.00039,0.0012189,1.5849,421.842,163.92,,,,,,,,
0.0004,0.0012188,1.5855,421.952,164.112,,,,,,,,
0.00041,0.0012186,1.58606,422.056,164.304,,,,,,,,
0.00042,0.0012185,1.58662,422.154,164.508,,,,,,,,
0.00043,0.0012184,1.58714,422.246,164.7,,,,,,,,
0.00044,0.0012182,1.58764,422.332,164.904,,,,,,,,
0.00045,0.0012181,1.58806,422.404,165.096,,,,,,,,
0.00046,0.001218,1.5885,422.466,165.3,,,,,,,,
0.00047,0.0012178,1.58888,422.52,165.492,,,,,,,,
0.00048,0.0012177,1.58922,422.562,165.696,,,,,,,,
0.00049,0.0012176,1.58952,422.594,165.9,,,,,,,,
0.0005,0.0012174,1.58978,422.616,166.104,,,,,,,,
0.00051,0.0012173,1.58998,422.624,166.296,,,,,,,,
0.00052,0.0012171,1.59014,422.622,166.5,,,,,,,,
0.00053,0.001217,1.59028,422.614,166.704,,,,,,,,
0.00054,0.0012169,1.59038,422.594,166.908,,,,,,,,
0.00055,0.0012167,1.59048,422.57,167.112,,,,,,,,
0.00056,0.0012166,1.59056,422.54,167.316,,,,,,,,
0.00057,0.0012164,1.5906,422.502,167.52,,,,,,,,
0.00058,0.0012163,1.59066,422.466,167.724,,,,,,,,
0.00059,0.0012162,1.59068,422.428,167.94,,,,,,,,
0.0006,0.001216,1.59072,422.388,168.144,,,,,,,,
0.00061,0.0012159,1.59076,422.354,168.348,,,,,,,,
0.00062,0.0012157,1.59082,422.318,168.552,,,,,,,,
0.00063,0.0012156,1.5909,422.288,168.768,,,,,,,,
0.00064,0.0012155,1.591,422.266,168.972,,,,,,,,
0.00065,0.0012153,1.59112,422.248,169.188,,,,,,,,
0.00066,0.0012152,1.59124,422.24,169.392,,,,,,,,
0.00067,0.001215,1.59144,422.236,169.608,,,,,,,,
0.00068,0.0012149,1.59164,422.242,169.824,,,,,,,,
0.00069,0.0012147,1.5919,422.26,170.028,,,,,,,,
0.0007,0.0012146,1.59218,422.282,170.244,,,,,,,,
0.00071,0.0012145,1.59248,422.312,170.46,,,,,,,,
0.00072,0.0012143,1.59282,422.35,170.676,,,,,,,,
0.00073,0.0012142,1.59316,422.396,170.88,,,,,,,,
0.00074,0.001214,1.59356,422.446,171.096,,,,,,,,
0.00075,0.0012139,1.59396,422.504,171.312,,,,,,,,
0.00076,0.0012137,1.59438,422.562,171.528,,,,,,,,
0.00077,0.0012136,1.59482,422.626,171.744,,,,,,,,
0.00078,0.0012134,1.59524,422.69,171.972,,,,,,,,
0.00079,0.0012133,1.59568,422.756,172.188,,,,,,,,
0.0008,0.0012131,1.59614,422.82,172.404,,,,,,,,
0.00081,0.001213,1.59656,422.884,172.62,,,,,,,,
0.00082,0.0012128,1.59702,422.942,172.836,,,,,,,,
0.00083,0.0012127,1.59738,422.998,173.064,,,,,,,,
0.00084,0.0012125,1.59782,423.052,173.28,,,,,,,,
0.00085,0.0012124,1.59818,423.098,173.508,,,,,,,,
0.00086,0.0012122,1.59856,423.142,173.724,,,,,,,,
0.00087,0.0012121,1.59888,423.18,173.952,,,,,,,,
0.00088,0.0012119,1.5992,423.212,174.168,,,,,,,,
0.00089,0.0012118,1.5995,423.242,174.396,,,,,,,,
0.0009,0.0012116,1.5998,423.262,174.624,,,,,,,,
0.00091,0.0012115,1.60008,423.28,174.852,,,,,,,,
0.00092,0.0012113,1.60034,423.298,175.068,,,,,,,,
0.00093,0.0012112,1.60058,423.304,175.296,,,,,,,,
0.00094,0.001211,1.60082,423.316,175.524,,,,,,,,
0.00095,0.0012109,1.60104,423.32,175.752,,,,,,,,
0.00096,0.0012107,1.60124,423.328,175.98,,,,,,,,
0.00097,0.0012106,1.6015,423.338,176.208,,,,,,,,
0.00098,0.0012104,1.60174,423.346,176.436,,,,,,,,
0.00099,0.0012102,1.60198,423.354,176.676,,,,,,,,
0.001,0.0012101,1.6022,423.366,176.904,,,,,,,,
0.00101,0.0012099,1.6025,423.382,177.132,,,,,,,,
0.00102,0.0012098,1.60276,423.4,177.36,,,,,,,,
0.00103,0.0012096,1.60306,423.42,177.6,,,,,,,,
0.00104,0.0012095,1.60338,423.446,177.828,,,,,,,,
0.00105,0.0012093,1.6037,423.478,178.068,,,,,,,,
0.00106,0.0012091,1.60404,423.512,178.296,,,,,,,,
0.00107,0.001209,1.60438,423.55,178.536,,,,,,,,
0.00108,0.0012088,1.60476,423.59,178.776,,,,,,,,
0.00109,0.0012087,1.60512,423.634,179.004,,,,,,,,
0.0011,0.0012085,1.60554,423.68,179.244,,,,,,,,
0.00111,0.0012083,1.60596,423.732,179.484,,,,,,,,
0.00112,0.0012082,1.60634,423.786,179.724,,,,,,,,
0.00113,0.001208,1.6068,423.836,179.964,,,,,,,,
0.00114,0.0012079,1.60718,423.888,180.192,,,,,,,,
0.00115,0.0012077,1.60758,423.94,180.432,,,,,,,,
0.00116,0.0012075,1.60802,423.992,180.684,,,,,,,,
0.00117,0.0012074,1.60842,424.042,180.924,,,,,,,,
0.00118,0.0012072,1.60882,424.088,181.164,,,,,,,,
0.00119,0.001207,1.6092,424.136,181.404,,,,,,,,
0.0012,0.0012069,1.60958,424.176,181.644,,,,,,,,
0.00121,0.0012067,1.60998,424.216,181.896,,,,,,,,
0.00122,0.0012065,1.61032,424.254,182.136,,,,,,,,
0.00123,0.0012064,1.61068,424.288,182.376,,,,,,,,
0.00124,0.0012062,1.611,424.318,182.628,,,,,,,,
0.00125,0.001206,1.61132,424.344,182.868,,,,,,,,
0.00126,0.0012059,1.61164,424.37,183.12,,,,,,,,
0.00127,0.0012057,1.61198,424.394,183.36,,,,,,,,
0.00128,0.0012055,1.61226,424.412,183.612,,,,,,,,
0.00129,0.0012054,1.61252,424.432,183.864,,,,,,,,
0.0013,0.0012052,1.61284,424.45,184.116,,,,,,,,
