t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,
0.00983,0.0009411,2.23868,459.492,924.08547,,,,,,
0.00984,0.00094068,2.23982,459.518,925.343265,,,,,,
0.00985,0.00094026,2.24096,459.548,926.60106,,,,,,
0.00986,0.00093984,2.2421,459.576,927.84615,,,,,,
0.00987,0.00093942,2.24326,459.61,929.103945,,,,,,
0.00988,0.000939,2.24444,459.646,930.36174,,,,,,
0.00989,0.00093858,2.24568,459.692,931.619535,,,,,,
0.0099,0.00093815,2.2469,459.738,932.890035,,,,,,
0.00991,0.00093773,2.2482,459.796,934.14783,,,,,,
0.00992,0.00093731,2.2495,459.86,935.405625,,,,,,
0.00993,0.00093689,2.25088,459.93,936.676125,,,,,,
0.00994,0.00093646,2.25228,460.006,937.93392,,,,,,
0.00995,0.00093604,2.25374,460.094,939.20442,,,,,,
0.00996,0.00093562,2.2552,460.188,940.47492,,,,,,
0.00997,0.00093519,2.2567,460.288,941.74542,,,,,,
0.00998,0.00093477,2.25822,460.392,943.01592,,,,,,
0.00999,0.00093435,2.25982,460.502,944.28642,,,,,,
0.01,0.00093392,2.26138,460.618,945.569625,,,,,,
0.01001,0.0009335,2.26302,460.734,946.840125,,,,,,
0.01002,0.00093307,2.26462,460.858,948.110625,,,,,,
0.01003,0.00093265,2.26626,460.976,949.39383,,,,,,
0.01004,0.00093222,2.26784,461.096,950.677035,,,,,,
0.01005,0.0009318,2.26948,461.216,951.96024,,,,,,
0.01006,0.00093137,2.27112,461.33,953.243445,,,,,,
0.01007,0.00093095,2.27272,461.444,954.52665,,,,,,
0.01008,0.00093052,2.2743,461.554,955.809855,,,,,,
0.01009,0.0009301,2.27582,461.658,957.09306,,,,,,
0.0101,0.00092967,2.27734,461.754,958.376265,,,,,,
0.01011,0.00092924,2.27888,461.85,959.672175,,,,,,
0.01012,0.00092882,2.28032,461.936,960.968085,,,,,,
0.01013,0.00092839,2.28176,462.016,962.25129,,,,,,
0.01014,0.00092797,2.2832,462.09,963.5472,,,,,,
0.01015,0.00092754,2.2846,462.162,964.84311,,,,,,
0.01016,0.00092711,2.28598,462.23,966.13902,,,,,,
0.01017,0.00092668,2.2873,462.288,967.43493,,,,,,
0.01018,0.00092626,2.28864,462.346,968.73084,,,,,,
0.01019,0.00092583,2.28998,462.398,970.039455,,,,,,
0.0102,0.0009254,2.2913,462.452,971.335365,,,,,,
0.01021,0.00092497,2.2926,462.504,972.64398,,,,,,
0.01022,0.00092455,2.29394,462.56,973.952595,,,,,,
0.01023,0.00092412,2.29528,462.614,975.248505,,,,,,
0.01024,0.00092369,2.29662,462.672,976.55712,,,,,,
0.01025,0.00092326,2.29798,462.732,977.865735,,,,,,
0.01026,0.00092283,2.29934,462.794,979.187055,,,,,,
0.01027,0.0009224,2.30076,462.866,980.49567,,,,,,
0.01028,0.00092197,2.3022,462.936,981.804285,,,,,,
0.01029,0.00092154,2.30368,463.018,983.125605,,,,,,
0.0103,0.00092111,2.3052,463.102,984.43422,,,,,,
0.01031,0.00092068,2.3067,463.192,985.75554,,,,,,
0.01032,0.00092025,2.30826,463.288,987.07686,,,,,,
0.01033,0.00091982,2.30982,463.386,988.39818,,,,,,
0.01034,0.00091939,2.3114,463.488,989.7195,,,,,,
0.01035,0.00091896,2.313,463.594,991.04082,,,,,,
0.01036,0.00091853,2.31464,463.702,992.374845,,,,,,
0.01037,0.0009181,2.3163,463.812,993.696165,,,,,,
0.01038,0.00091767,2.3179,463.92,995.017485,,,,,,
0.01039,0.00091724,2.31954,464.028,996.35151,,,,,,
0.0104,0.00091681,2.32118,464.134,997.685535,,,,,,
0.01041,0.00091638,2.32278,464.24,999.01956,,,,,,
0.01042,0.00091594,2.32438,464.338,1000.353585,,,,,,
0.01043,0.00091551,2.32592,464.438,1001.68761,,,,,,
0.01044,0.00091508,2.3275,464.53,1003.021635,,,,,,
0.01045,0.00091465,2.32904,464.616,1004.35566,,,,,,
0.01046,0.00091422,2.33058,464.698,1005.70239,,,,,,
0.01047,0.00091378,2.33208,464.776,1007.036415,,,,,,
0.01048,0.00091335,2.33354,464.852,1008.383145,,,,,,
0.01049,0.00091292,2.335,464.924,1009.729875,,,,,,
0.0105,0.00091248,2.33644,464.99,1011.076605,,,,,,
0.01051,0.00091205,2.33788,465.056,1012.423335,,,,,,
0.01052,0.00091162,2.33932,465.118,1013.770065,,,,,,
0.01053,0.00091118,2.34076,465.184,1015.116795,,,,,,
0.01054,0.00091075,2.34218,465.248,1016.463525,,,,,,
0.01055,0.00091031,2.34364,465.316,1017.82296,,,,,,
0.01056,0.00090988,2.34512,465.39,1019.182395,,,,,,
0.01057,0.00090945,2.34664,465.464,1020.529125,,,,,,
0.01058,0.00090901,2.34816,465.548,1021.88856,,,,,,
0.01059,0.00090858,2.34972,465.632,1023.247995,,,,,,
0.0106,0.00090814,2.35132,465.728,1024.60743,,,,,,
0.01061,0.00090771,2.35296,465.832,1025.966865,,,,,,
0.01062,0.00090727,2.35464,465.942,1027.339005,,,,,,
0.01063,0.00090683,2.3564,466.058,1028.69844,,,,,,
0.01064,0.0009064,2.35816,466.184,1030.07058,,,,,,
0.01065,0.00090596,2.35992,466.314,1031.430015,,,,,,
0.01066,0.00090553,2.36178,466.45,1032.802155,,,,,,
0.01067,0.00090509,2.36362,466.594,1034.174295,,,,,,
0.01068,0.00090465,2.36552,466.738,1035.546435,,,,,,
0.01069,0.00090422,2.36738,466.884,1036.918575,,,,,,
0.0107,0.00090378,2.36926,467.03,1038.290715,,,,,,
0.01071,0.00090334,2.37118,467.176,1039.67556,,,,,,
0.01072,0.00090291,2.37304,467.32,1041.0477,,,,,,
0.01073,0.00090247,2.37486,467.458,1042.432545,,,,,,
0.01074,0.00090203,2.37672,467.59,1043.804685,,,,,,
0.01075,0.00090159,2.37852,467.712,1045.18953,,,,,,
0.01076,0.00090116,2.38026,467.83,1046.574375,,,,,,
0.01077,0.00090072,2.38194,467.934,1047.95922,,,,,,
0.01078,0.00090028,2.38356,468.03,1049.344065,,,,,,
0.01079,0.00089984,2.38516,468.112,1050.741615,,,,,,
0.0108,0.0008994,2.3867,468.184,1052.12646,,,,,,
0.01081,0.00089896,2.38814,468.24,1053.52401,,,,,,
0.01082,0.00089853,2.38954,468.288,1054.908855,,,,,,
0.01083,0.00089809,2.3909,468.326,1056.306405,,,,,,
0.01084,0.00089765,2.39222,468.352,1057.703955,,,,,,
0.01085,0.00089721,2.39346,468.368,1059.101505,,,,,,
0.01086,0.00089677,2.3947,468.38,1060.499055,,,,,,
0.01087,0.00089633,2.39586,468.382,1061.896605,,,,,,
0.01088,0.00089589,2.39704,468.382,1063.30686,,,,,,
0.01089,0.00089545,2.39818,468.378,1064.70441,,,,,,
0.0109,0.00089501,2.39934,468.374,1066.114665,,,,,,
0.01091,0.00089457,2.4005,468.368,1067.512215,,,,,,
0.01092,0.00089413,2.40168,468.368,1068.92247,,,,,,
0.01093,0.00089369,2.40286,468.37,1070.332725,,,,,,
0.01094,0.00089324,2.40408,468.38,1071.74298,,,,,,
0.01095,0.0008928,2.40538,468.396,1073.16594,,,,,,
0.01096,0.00089236,2.40668,468.42,1074.576195,,,,,,
0.01097,0.00089192,2.40802,468.454,1075.98645,,,,,,
0.01098,0.00089148,2.40946,468.498,1077.40941,,,,,,
0.01099,0.00089104,2.41094,468.554,1078.83237,,,,,,
0.011,0.0008906,2.41242,468.616,1080.25533,,,,,,
0.01101,0.00089015,2.41404,468.69,1081.67829,,,,,,
0.01102,0.00088971,2.41566,468.774,1083.10125,,,,,,
0.01103,0.00088927,2.41732,468.866,1084.52421,,,,,,
0.01104,0.00088883,2.41906,468.968,1085.94717,,,,,,
0.01105,0.00088838,2.42082,469.078,1087.382835,,,,,,
0.01106,0.00088794,2.42258,469.188,1088.805795,,,,,,
0.01107,0.0008875,2.4244,469.308,1090.24146,,,,,,
0.01108,0.00088705,2.42622,469.422,1091.677125,,,,,,
0.01109,0.00088661,2.42804,469.542,1093.11279,,,,,,
0.0111,0.00088617,2.4299,469.666,1094.548455,,,,,,
0.01111,0.00088572,2.43174,469.782,1095.98412,,,,,,
0.01112,0.00088528,2.43354,469.898,1097.419785,,,,,,
0.01113,0.00088484,2.43532,470.008,1098.868155,,,,,,
0.01114,0.00088439,2.4371,470.116,1100.30382,,,,,,
0.01115,0.00088395,2.43886,470.216,1101.75219,,,,,,
0.01116,0.0008835,2.4406,470.312,1103.20056,,,,,,
0.01117,0.00088306,2.44228,470.398,1104.64893,,,,,,
0.01118,0.00088261,2.44392,470.484,1106.0973,,,,,,
0.01119,0.00088217,2.44556,470.558,1107.54567,,,,,,
0.0112,0.00088172,2.44714,470.628,1108.99404,,,,,,
0.01121,0.00088128,2.44872,470.692,1110.455115,,,,,,
0.01122,0.00088083,2.45026,470.756,1111.903485,,,,,,
0.01123,0.00088039,2.4518,470.812,1113.36456,,,,,,
0.01124,0.00087994,2.45334,470.866,1114.825635,,,,,,
0.01125,0.0008795,2.45482,470.914,1116.28671,,,,,,
0.01126,0.00087905,2.45636,470.968,1117.747785,,,,,,
0.01127,0.0008786,2.45788,471.02,1119.20886,,,,,,
0.01128,0.00087816,2.4594,471.074,1120.669935,,,,,,
0.01129,0.00087771,2.46094,471.128,1122.143715,,,,,,
0.0113,0.00087726,2.46248,471.188,1123.60479,,,,,,
0.01131,0.00087682,2.46408,471.25,1125.07857,,,,,,
0.01132,0.00087637,2.46566,471.316,1126.55235,,,,,,
0.01133,0.00087592,2.46732,471.386,1128.02613,,,,,,
0.01134,0.00087548,2.46896,471.464,1129.49991,,,,,,
0.01135,0.00087503,2.47062,471.544,1130.97369,,,,,,
0.01136,0.00087458,2.47234,471.63,1132.44747,,,,,,
0.01137,0.00087413,2.47406,471.714,1133.933955,,,,,,
0.01138,0.00087368,2.4758,471.806,1135.407735,,,,,,
0.01139,0.00087324,2.47754,471.894,1136.89422,,,,,,
0.0114,0.00087279,2.47932,471.99,1138.380705,,,,,,
0.01141,0.00087234,2.48104,472.08,1139.86719,,,,,,
0.01142,0.00087189,2.4828,472.17,1141.353675,,,,,,
0.01143,0.00087144,2.48456,472.256,1142.84016,,,,,,
0.01144,0.00087099,2.48624,472.344,1144.33935,,,,,,
0.01145,0.00087054,2.48798,472.42,1145.825835,,,,,,
0.01146,0.00087009,2.48962,472.494,1147.325025,,,,,,
0.01147,0.00086965,2.49124,472.562,1148.824215,,,,,,
0.01148,0.0008692,2.49286,472.618,1150.3107,,,,,,
0.01149,0.00086875,2.49442,472.668,1151.80989,,,,,,
0.0115,0.0008683,2.49592,472.714,1153.321785,,,,,,
0.01151,0.00086785,2.49736,472.748,1154.820975,,,,,,
0.01152,0.0008674,2.49884,472.772,1156.320165,,,,,,
0.01153,0.00086695,2.5002,472.794,1157.83206,,,,,,
0.01154,0.0008665,2.50158,472.804,1159.343955,,,,,,
0.01155,0.00086604,2.50294,472.812,1160.843145,,,,,,
0.01156,0.00086559,2.50422,472.81,1162.35504,,,,,,
0.01157,0.00086514,2.50548,472.808,1163.866935,,,,,,
0.01158,0.00086469,2.50678,472.8,1165.391535,,,,,,
0.01159,0.00086424,2.50804,472.796,1166.90343,,,,,,
0.0116,0.00086379,2.50932,472.792,1168.415325,,,,,,
0.01161,0.00086334,2.5106,472.788,1169.939925,,,,,,
0.01162,0.00086289,2.51192,472.788,1171.464525,,,,,,
0.01163,0.00086243,2.51326,472.79,1172.989125,,,,,,
0.01164,0.00086198,2.5146,472.802,1174.513725,,,,,,
0.01165,0.00086153,2.51604,472.82,1176.038325,,,,,,
0.01166,0.00086108,2.51748,472.846,1177.562925,,,,,,
0.01167,0.00086063,2.51898,472.878,1179.10023,,,,,,
0.01168,0.00086017,2.52054,472.924,1180.62483,,,,,,
0.01169,0.00085972,2.52216,472.978,1182.162135,,,,,,
0.0117,0.00085927,2.5238,473.04,1183.69944,,,,,,
0.01171,0.00085881,2.52552,473.114,1185.236745,,,,,,
0.01172,0.00085836,2.5273,473.196,1186.77405,,,,,,
0.01173,0.00085791,2.52912,473.288,1188.311355,,,,,,
0.01174,0.00085745,2.53098,473.39,1189.84866,,,,,,
0.01175,0.000857,2.5329,473.494,1191.39867,,,,,,
0.01176,0.00085655,2.53484,473.606,1192.94868,,,,,,
0.01177,0.00085609,2.5368,473.724,1194.485985,,,,,,
0.01178,0.00085564,2.53878,473.844,1196.035995,,,,,,
0.01179,0.00085518,2.5408,473.964,1197.586005,,,,,,
0.0118,0.00085473,2.54278,474.086,1199.136015,,,,,,
0.01181,0.00085428,2.54478,474.208,1200.69873,,,,,,
0.01182,0.00085382,2.5468,474.33,1202.24874,,,,,,
0.01183,0.00085337,2.54878,474.444,1203.811455,,,,,,
0.01184,0.00085291,2.55076,474.554,1205.361465,,,,,,
0.01185,0.00085246,2.55268,474.666,1206.92418,,,,,,
0.01186,0.000852,2.55458,474.766,1208.486895,,,,,,
0.01187,0.00085155,2.55648,474.862,1210.04961,,,,,,
0.01188,0.00085109,2.5583,474.95,1211.62503,,,,,,
0.01189,0.00085063,2.5601,475.028,1213.187745,,,,,,
0.0119,0.00085018,2.56188,475.1,1214.75046,,,,,,
0.01191,0.00084972,2.5636,475.166,1216.32588,,,,,,
0.01192,0.00084927,2.5653,475.224,1217.9013,,,,,,
0.01193,0.00084881,2.56692,475.28,1219.47672,,,,,,
0.01194,0.00084835,2.56856,475.32,1221.05214,,,,,,
0.01195,0.0008479,2.57016,475.362,1222.62756,,,,,,
0.01196,0.00084744,2.57172,475.398,1224.20298,,,,,,
0.01197,0.00084698,2.57328,475.43,1225.791105,,,,,,
0.01198,0.00084653,2.5748,475.456,1227.37923,,,,,,
0.01199,0.00084607,2.57636,475.484,1228.95465,,,,,,
0.012,0.00084561,2.57788,475.508,1230.542775,,,,,,
0.01201,0.00084516,2.5794,475.53,1232.1309,,,,,,
0.01202,0.0008447,2.58094,475.556,1233.719025,,,,,,
0.01203,0.00084424,2.58244,475.582,1235.319855,,,,,,
0.01204,0.00084378,2.58398,475.606,1236.90798,,,,,,
0.01205,0.00084332,2.58552,475.636,1238.50881,,,,,,
0.01206,0.00084287,2.58712,475.666,1240.10964,,,,,,
0.01207,0.00084241,2.58868,475.702,1241.697765,,,,,,
0.01208,0.00084195,2.59034,475.742,1243.3113,,,,,,
0.01209,0.00084149,2.59196,475.784,1244.91213,,,,,,
0.0121,0.00084103,2.59362,475.832,1246.51296,,,,,,
0.01211,0.00084057,2.59528,475.884,1248.11379,,,,,,
0.01212,0.00084012,2.59702,475.938,1249.727325,,,,,,
0.01213,0.00083966,2.59878,475.998,1251.34086,,,,,,
0.01214,0.0008392,2.60054,476.06,1252.954395,,,,,,
0.01215,0.00083874,2.60232,476.128,1254.56793,,,,,,
0.01216,0.00083828,2.60416,476.198,1256.181465,,,,,,
0.01217,0.00083782,2.60598,476.276,1257.795,,,,,,
0.01218,0.00083736,2.60782,476.352,1259.42124,,,,,,
0.01219,0.0008369,2.60972,476.434,1261.034775,,,,,,
0.0122,0.00083644,2.61158,476.518,1262.661015,,,,,,
0.01221,0.00083598,2.61348,476.604,1264.287255,,,,,,
0.01222,0.00083552,2.61542,476.694,1265.913495,,,,,,
0.01223,0.00083506,2.61736,476.784,1267.539735,,,,,,
0.01224,0.0008346,2.61932,476.874,1269.165975,,,,,,
0.01225,0.00083414,2.62124,476.966,1270.7541,,,,,,
0.01226,0.00083368,2.6232,477.06,1272.40575,,,,,,
0.01227,0.00083322,2.6252,477.156,1274.0574,,,,,,
0.01228,0.00083275,2.62716,477.25,1275.70905,,,,,,
0.01229,0.00083229,2.6291,477.34,1277.3607,,,,,,
0.0123,0.00083183,2.63108,477.436,1279.01235,,,,,,
0.01231,0.00083137,2.63306,477.528,1280.664,,,,,,
0.01232,0.00083091,2.63504,477.62,1282.31565,,,,,,
0.01233,0.00083045,2.637,477.714,1283.9673,,,,,,
0.01234,0.00082999,2.639,477.804,1285.61895,,,,,,
0.01235,0.00082952,2.64092,477.89,1287.2706,,,,,,
0.01236,0.00082906,2.6429,477.98,1288.92225,,,,,,
0.01237,0.0008286,2.64482,478.068,1290.5739,,,,,,
0.01238,0.00082814,2.64676,478.15,1292.22555,,,,,,
0.01239,0.00082767,2.6487,478.232,1293.8772,,,,,,
0.0124,0.00082721,2.6506,478.314,1295.52885,,,,,,
0.01241,0.00082675,2.65252,478.39,1297.1805,,,,,,
0.01242,0.00082629,2.65444,478.466,1298.83215,,,,,,
0.01243,0.00082582,2.65632,478.54,1300.4838,,,,,,
0.01244,0.00082536,2.65822,478.61,1302.13545,,,,,,
0.01245,0.0008249,2.66006,478.678,1303.7871,,,,,,
0.01246,0.00082443,2.6619,478.744,1305.43875,,,,,,
0.01247,0.00082397,2.66376,478.806,1307.21745,,,,,,
0.01248,0.00082351,2.6656,478.866,1308.8691,,,,,,
0.01249,0.00082304,2.6674,478.924,1310.52075,,,,,,
0.0125,0.00082258,2.66922,478.974,1312.1724,,,,,,
0.01251,0.00082211,2.671,479.026,1313.82405,,,,,,
0.01252,0.00082165,2.67276,479.076,1315.60275,,,,,,
0.01253,0.00082119,2.67456,479.126,1317.2544,,,,,,
0.01254,0.00082072,2.67632,479.168,1318.90605,,,,,,
0.01255,0.00082026,2.67806,479.212,1320.5577,,,,,,
0.01256,0.00081979,2.6798,479.256,1322.3364,,,,,,
0.01257,0.00081933,2.68156,479.298,1323.98805,,,,,,
0.01258,0.00081886,2.68332,479.34,1325.6397,,,,,,
0.01259,0.0008184,2.68508,479.384,1327.4184,,,,,,
0.0126,0.00081793,2.68686,479.428,1329.07005,,,,,,
0.01261,0.00081747,2.68864,479.474,1330.7217,,,,,,
0.01262,0.000817,2.69044,479.518,1332.5004,,,,,,
0.01263,0.00081654,2.69224,479.57,1334.15205,,,,,,
0.01264,0.00081607,2.69408,479.624,1335.93075,,,,,,
0.01265,0.0008156,2.69592,479.68,1337.5824,,,,,,
0.01266,0.00081514,2.6978,479.742,1339.3611,,,,,,
0.01267,0.00081467,2.69972,479.81,1341.01275,,,,,,
0.01268,0.00081421,2.70166,479.88,1342.6644,,,,,,
0.01269,0.00081374,2.70362,479.958,1344.4431,,,,,,
0.0127,0.00081327,2.70564,480.038,1346.09475,,,,,,
0.01271,0.00081281,2.7077,480.124,1347.87345,,,,,,
0.01272,0.00081234,2.70974,480.218,1349.65215,,,,,,
0.01273,0.00081187,2.71184,480.31,1351.3038,,,,,,
0.01274,0.00081141,2.71396,480.412,1353.0825,,,,,,
0.01275,0.00081094,2.7161,480.514,1354.73415,,,,,,
0.01276,0.00081047,2.71826,480.62,1356.51285,,,,,,
0.01277,0.00081001,2.72044,480.73,1358.1645,,,,,,
0.01278,0.00080954,2.7226,480.834,1359.9432,,,,,,
0.01279,0.00080907,2.7248,480.942,1361.7219,,,,,,
0.0128,0.0008086,2.72698,481.05,1363.37355,,,,,,
0.01281,0.00080813,2.72912,481.154,1365.15225,,,,,,
0.01282,0.00080767,2.7313,481.256,1366.93095,,,,,,
0.01283,0.0008072,2.73342,481.354,1368.70965,,,,,,
0.01284,0.00080673,2.73552,481.446,1370.3613,,,,,,
0.01285,0.00080626,2.73762,481.532,1372.14,,,,,,
0.01286,0.00080579,2.73964,481.612,1373.9187,,,,,,
0.01287,0.00080533,2.74168,481.686,1375.6974,,,,,,
0.01288,0.00080486,2.74364,481.75,1377.34905,,,,,,
0.01289,0.00080439,2.74558,481.812,1379.12775,,,,,,
0.0129,0.00080392,2.74746,481.864,1380.90645,,,,,,
0.01291,0.00080345,2.74932,481.91,1382.68515,,,,,,
0.01292,0.00080298,2.75116,481.95,1384.46385,,,,,,
0.01293,0.00080251,2.75296,481.984,1386.1155,,,,,,
0.01294,0.00080204,2.75472,482.014,1387.8942,,,,,,
0.01295,0.00080157,2.75648,482.04,1389.6729,,,,,,
0.01296,0.0008011,2.75824,482.066,1391.4516,,,,,,
0.01297,0.00080063,2.76002,482.092,1393.2303,,,,,,
0.01298,0.00080016,2.76178,482.12,1395.009,,,,,,
0.01299,0.00079969,2.76358,482.15,1396.7877,,,,,,
0.013,0.00079922,2.76538,482.182,1398.5664,,,,,,
0.01301,0.00079875,2.76722,482.22,1400.3451,,,,,,
0.01302,0.00079828,2.7691,482.268,1402.1238,,,,,,
0.01303,0.00079781,2.77104,482.32,1403.9025,,,,,,
0.01304,0.00079734,2.77304,482.39,1405.6812,,,,,,
0.01305,0.00079687,2.77516,482.464,1407.4599,,,,,,
0.01306,0.0007964,2.77728,482.552,1409.2386,,,,,,
0.01307,0.00079593,2.7795,482.652,1411.0173,,,,,,
0.01308,0.00079546,2.78178,482.766,1412.796,,,,,,
0.01309,0.00079499,2.78416,482.89,1414.70175,,,,,,
0.0131,0.00079452,2.78662,483.028,1416.48045,,,,,,
0.01311,0.00079405,2.78912,483.178,1418.25915,,,,,,
0.01312,0.00079357,2.79172,483.338,1420.03785,,,,,,
0.01313,0.0007931,2.79436,483.51,1421.81655,,,,,,
0.01314,0.00079263,2.79706,483.69,1423.59525,,,,,,
0.01315,0.00079216,2.7998,483.876,1425.501,,,,,,
0.01316,0.00079169,2.80256,484.068,1427.2797,,,,,,
0.01317,0.00079121,2.8054,484.264,1429.0584,,,,,,
0.01318,0.00079074,2.80824,484.464,1430.8371,,,,,,
0.01319,0.00079027,2.81104,484.66,1432.74285,,,,,,
0.0132,0.0007898,2.81388,484.858,1434.52155,,,,,,
0.01321,0.00078932,2.81668,485.05,1436.30025,,,,,,
0.01322,0.00078885,2.81946,485.238,1438.206,,,,,,
0.01323,0.00078838,2.82218,485.42,1439.9847,,,,,,
0.01324,0.00078791,2.8249,485.594,1441.7634,,,,,,
0.01325,0.00078743,2.8275,485.754,1443.66915,,,,,,
0.01326,0.00078696,2.83014,485.908,1445.44785,,,,,,
0.01327,0.00078649,2.83266,486.052,1447.3536,,,,,,
0.01328,0.00078601,2.8351,486.182,1449.1323,,,,,,
0.01329,0.00078554,2.83752,486.296,1450.911,,,,,,
0.0133,0.00078507,2.83984,486.404,1452.81675,,,,,,
0.01331,0.00078459,2.84212,486.5,1454.59545,,,,,,
0.01332,0.00078412,2.84432,486.586,1456.5012,,,,,,
0.01333,0.00078364,2.84646,486.658,1458.2799,,,,,,
0.01334,0.00078317,2.84856,486.724,1460.18565,,,,,,
0.01335,0.0007827,2.85062,486.784,1461.96435,,,,,,
0.01336,0.00078222,2.85264,486.83,1463.8701,,,,,,
0.01337,0.00078175,2.85466,486.876,1465.77585,,,,,,
0.01338,0.00078127,2.8566,486.918,1467.55455,,,,,,
0.01339,0.0007808,2.85856,486.956,1469.4603,,,,,,
0.0134,0.00078032,2.86054,486.996,1471.239,,,,,,
0.01341,0.00077985,2.86248,487.032,1473.14475,,,,,,
0.01342,0.00077937,2.86446,487.074,1475.0505,,,,,,
0.01343,0.0007789,2.86646,487.112,1476.8292,,,,,,
0.01344,0.00077842,2.86844,487.16,1478.73495,,,,,,
0.01345,0.00077795,2.8705,487.21,1480.6407,,,,,,
0.01346,0.00077747,2.87258,487.264,1482.54645,,,,,,
0.01347,0.000777,2.87468,487.326,1484.32515,,,,,,
0.01348,0.00077652,2.87684,487.396,1486.2309,,,,,,
0.01349,0.00077605,2.87902,487.464,1488.13665,,,,,,
0.0135,0.00077557,2.88124,487.544,1490.0424,,,,,,
0.01351,0.00077509,2.88352,487.63,1491.94815,,,,,,
0.01352,0.00077462,2.8858,487.718,1493.72685,,,,,,
0.01353,0.00077414,2.88814,487.816,1495.6326,,,,,,
0.01354,0.00077366,2.89052,487.914,1497.53835,,,,,,
0.01355,0.00077319,2.89288,488.016,1499.4441,,,,,,
0.01356,0.00077271,2.8953,488.122,1501.34985,,,,,,
0.01357,0.00077223,2.89772,488.232,1503.2556,,,,,,
0.01358,0.00077176,2.90014,488.338,1505.16135,,,,,,
0.01359,0.00077128,2.90256,488.444,1507.0671,,,,,,
0.0136,0.0007708,2.905,488.548,1508.97285,,,,,,
0.01361,0.00077033,2.90742,488.654,1510.8786,,,,,,
0.01362,0.00076985,2.90984,488.756,1512.78435,,,,,,
0.01363,0.00076937,2.91222,488.854,1514.6901,,,,,,
0.01364,0.0007689,2.9146,488.952,1516.59585,,,,,,
0.01365,0.00076842,2.91692,489.044,1518.5016,,,,,,
0.01366,0.00076794,2.91924,489.13,1520.40735,,,,,,
0.01367,0.00076746,2.92156,489.21,1522.3131,,,,,,
0.01368,0.00076698,2.92382,489.282,1524.21885,,,,,,
0.01369,0.00076651,2.92604,489.354,1526.1246,,,,,,
0.0137,0.00076603,2.92826,489.416,1528.1574,,,,,,
0.01371,0.00076555,2.93044,489.48,1530.06315,,,,,,
0.01372,0.00076507,2.9326,489.534,1531.9689,,,,,,
0.01373,0.00076459,2.93472,489.586,1533.87465,,,,,,
0.01374,0.00076412,2.93684,489.63,1535.7804,,,,,,
0.01375,0.00076364,2.93892,489.678,1537.8132,,,,,,
0.01376,0.00076316,2.94104,489.718,1539.71895,,,,,,
0.01377,0.00076268,2.94314,489.76,1541.6247,,,,,,
0.01378,0.0007622,2.94518,489.798,1543.53045,,,,,,
0.01379,0.00076172,2.94728,489.834,1545.56325,,,,,,
0.0138,0.00076124,2.94934,489.874,1547.469,,,,,,
0.01381,0.00076076,2.95144,489.912,1549.37475,,,,,,
0.01382,0.00076029,2.95354,489.956,1551.40755,,,,,,
0.01383,0.00075981,2.95566,489.998,1553.3133,,,,,,
0.01384,0.00075933,2.95782,490.042,1555.3461,,,,,,
0.01385,0.00075885,2.95994,490.094,1557.25185,,,,,,
0.01386,0.00075837,2.96214,490.148,1559.28465,,,,,,
0.01387,0.00075789,2.96436,490.204,1561.1904,,,,,,
0.01388,0.00075741,2.96662,490.266,1563.09615,,,,,,
0.01389,0.00075693,2.96888,490.332,1565.12895,,,,,,
0.0139,0.00075645,2.9712,490.406,1567.16175,,,,,,
0.01391,0.00075597,2.97354,490.482,1569.0675,,,,,,
0.01392,0.00075549,2.97594,490.564,1571.1003,,,,,,
0.01393,0.00075501,2.97832,490.652,1573.00605,,,,,,
0.01394,0.00075453,2.98078,490.742,1575.03885,,,,,,
0.01395,0.00075405,2.98326,490.836,1576.9446,,,,,,
0.01396,0.00075357,2.98576,490.94,1578.9774,,,,,,
0.01397,0.00075308,2.98828,491.04,1581.0102,,,,,,
0.01398,0.0007526,2.99086,491.146,1582.91595,,,,,,
0.01399,0.00075212,2.99342,491.254,1584.94875,,,,,,
0.014,0.00075164,2.99598,491.364,1586.98155,,,,,,
0.01401,0.00075116,2.99858,491.474,1588.8873,,,,,,
0.01402,0.00075068,3.0012,491.584,1590.9201,,,,,,
0.01403,0.0007502,3.00376,491.694,1592.9529,,,,,,
0.01404,0.00074972,3.00634,491.804,1594.9857,,,,,,
0.01405,0.00074924,3.00894,491.908,1597.0185,,,,,,
0.01406,0.00074875,3.01148,492.01,1598.92425,,,,,,
0.01407,0.00074827,3.01402,492.11,1600.95705,,,,,,
0.01408,0.00074779,3.01656,492.206,1602.98985,,,,,,
0.01409,0.00074731,3.01904,492.298,1605.02265,,,,,,
0.0141,0.00074683,3.02152,492.382,1607.05545,,,,,,
0.01411,0.00074634,3.02396,492.466,1609.08825,,,,,,
0.01412,0.00074586,3.02636,492.536,1611.12105,,,,,,
0.01413,0.00074538,3.02874,492.608,1613.15385,,,,,,
0.01414,0.0007449,3.0311,492.676,1615.18665,,,,,,
0.01415,0.00074442,3.03344,492.734,1617.21945,,,,,,
0.01416,0.00074393,3.03572,492.788,1619.25225,,,,,,
0.01417,0.00074345,3.03802,492.84,1621.28505,,,,,,
0.01418,0.00074297,3.0403,492.892,1623.31785,,,,,,
0.01419,0.00074249,3.04254,492.936,1625.35065,,,,,,
0.0142,0.000742,3.04478,492.982,1627.38345,,,,,,
0.01421,0.00074152,3.04704,493.028,1629.41625,,,,,,
