t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,,,,
0,0.0012236,1.613425,449.935,154.0275,,,,,,,,,
1.00E-05,0.0012236,1.61345,449.935,153.133125,,,,,,,,,
2.00E-05,0.0012235,1.613475,449.895,153.91125,,,,,,,,,
3.00E-05,0.0012234,1.6135,449.8575,154.055625,,,,,,,,,
4.00E-05,0.0012232,1.613525,449.8175,154.2,,,,,,,,,
5.00E-05,0.0012231,1.613575,449.7775,154.344375,,,,,,,,,
6.00E-05,0.001223,1.6136,449.7375,154.48875,,,,,,,,,
7.00E-05,0.0012229,1.613625,449.695,154.635,,,,,,,,,
8.00E-05,0.0012227,1.6136,449.655,154.779375,,,,,,,,,
9.00E-05,0.0012226,1.61365,449.6175,154.925625,,,,,,,,,
0.0001,0.0012225,1.61365,449.575,155.071875,,,,,,,,,
0.00011,0.0012224,1.613675,449.5375,155.22,,,,,,,,,
0.00012,0.0012222,1.61375,449.4975,155.36625,,,,,,,,,
0.00013,0.0012221,1.613775,449.46,155.514375,,,,,,,,,
0.00014,0.001222,1.613775,449.4225,155.6625,,,,,,,,,
0.00015,0.0012218,1.613825,449.385,155.810625,,,,,,,,,
0.00016,0.0012217,1.61385,449.35,155.960625,,,,,,,,,
0.00017,0.0012216,1.613925,449.32,156.10875,,,,,,,,,
0.00018,0.0012215,1.613975,449.285,156.25875,,,,,,,,,
0.00019,0.0012213,1.61405,449.2575,156.40875,,,,,,,,,
0.0002,0.0012212,1.614125,449.23,156.55875,,,,,,,,,
0.00021,0.0012211,1.614225,449.21,156.710625,,,,,,,,,
0.00022,0.0012209,1.614325,449.185,156.860625,,,,,,,,,
0.00023,0.0012208,1.61445,449.17,157.0125,,,,,,,,,
0.00024,0.0012207,1.614525,449.155,157.164375,,,,,,,,,
0.00025,0.0012206,1.6147,449.1475,157.31625,,,,,,,,,
0.00026,0.0012204,1.61485,449.1375,157.47,,,,,,,,,
0.00027,0.0012203,1.614975,449.14,157.621875,,,,,,,,,
0.00028,0.0012202,1.6152,449.1375,157.775625,,,,,,,,,
0.00029,0.00122,1.615375,449.145,157.929375,,,,,,,,,
0.0003,0.0012199,1.615575,449.1575,158.085,,,,,,,,,
0.00031,0.0012198,1.615825,449.1725,158.23875,,,,,,,,,
0.00032,0.0012196,1.61605,449.1875,158.394375,,,,,,,,,
0.00033,0.0012195,1.6163,449.2075,158.55,,,,,,,,,
0.00034,0.0012194,1.61655,449.23,158.705625,,,,,,,,,
0.00035,0.0012192,1.616825,449.255,158.86125,,,,,,,,,
0.00036,0.0012191,1.617125,449.2825,159.01875,,,,,,,,,
0.00037,0.001219,1.6174,449.31,159.17625,,,,,,,,,
0.00038,0.0012188,1.617675,449.3375,159.33375,,,,,,,,,
