t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,,,
0,0.0012236,1.58886,421.426,161.31,,,,,,,,
1.00E-05,0.0012236,1.58902,421.458,161.4,,,,,,,,
2.00E-05,0.0012235,1.58914,421.442,161.3,,,,,,,,
3.00E-05,0.0012234,1.58922,421.432,161.47,,,,,,,,
4.00E-05,0.0012233,1.58934,421.418,161.65,,,,,,,,
5.00E-05,0.0012231,1.58944,421.408,161.82,,,,,,,,
6.00E-05,0.001223,1.58958,421.396,162,,,,,,,,
7.00E-05,0.0012229,1.58972,421.38,162.18,,,,,,,,
8.00E-05,0.0012228,1.58982,421.372,162.35,,,,,,,,
9.00E-05,0.0012226,1.58994,421.356,162.53,,,,,,,,
0.0001,0.0012225,1.59002,421.344,162.71,,,,,,,,
0.00011,0.0012224,1.59016,421.33,162.89,,,,,,,,
0.00012,0.0012223,1.59026,421.314,163.07,,,,,,,,
0.00013,0.0012221,1.59036,421.3,163.25,,,,,,,,
0.00014,0.001222,1.59048,421.284,163.43,,,,,,,,
0.00015,0.0012219,1.59056,421.27,163.61,,,,,,,,
0.00016,0.0012218,1.59068,421.252,163.79,,,,,,,,
0.00017,0.0012216,1.59078,421.236,163.97,,,,,,,,
0.00018,0.0012215,1.5909,421.222,164.15,,,,,,,,
0.00019,0.0012214,1.59098,421.206,164.33,,,,,,,,
0.0002,0.0012212,1.5911,421.186,164.52,,,,,,,,
0.00021,0.0012211,1.5912,421.172,164.7,,,,,,,,
0.00022,0.001221,1.59132,421.158,164.88,,,,,,,,
0.00023,0.0012209,1.59142,421.14,165.07,,,,,,,,
0.00024,0.0012207,1.5915,421.122,165.25,,,,,,,,
0.00025,0.0012206,1.59164,421.104,165.44,,,,,,,,
0.00026,0.0012205,1.59174,421.092,165.62,,,,,,,,
0.00027,0.0012203,1.59186,421.078,165.81,,,,,,,,
0.00028,0.0012202,1.59196,421.064,166,,,,,,,,
0.00029,0.0012201,1.59208,421.05,166.18,,,,,,,,
0.0003,0.0012199,1.59222,421.036,166.37,,,,,,,,
0.00031,0.0012198,1.59234,421.026,166.56,,,,,,,,
0.00032,0.0012197,1.5925,421.016,166.75,,,,,,,,
0.00033,0.0012195,1.59262,421.006,166.94,,,,,,,,
0.00034,0.0012194,1.59278,421,167.13,,,,,,,,
0.00035,0.0012193,1.59292,420.992,167.32,,,,,,,,
