t [s],Vol [m3],P [bar],T [K],Q loss [W]
0,0.0012241,1.59686,420.934,106.4583
1.00E-05,0.0012239,1.59626,420.73,106.2882
2.00E-05,0.0012239,1.59568,420.548,106.596
3.00E-05,0.0012237,1.59508,420.354,106.6527
4.00E-05,0.0012236,1.59452,420.17,106.7661
5.00E-05,0.0012235,1.59398,419.986,106.8876
6.00E-05,0.0012234,1.59348,419.82,107.001
7.00E-05,0.0012233,1.59302,419.662,107.1144
8.00E-05,0.0012231,1.59264,419.518,107.2359
9.00E-05,0.001223,1.59232,419.386,107.3493
0.0001,0.0012229,1.59202,419.272,107.4708
0.00011,0.0012228,1.59182,419.172,107.5842
0.00012,0.0012227,1.59164,419.088,107.7057
0.00013,0.0012225,1.59152,419.018,107.8272
0.00014,0.0012224,1.59148,418.968,107.9487
0.00015,0.0012223,1.5915,418.928,108.0621
0.00016,0.0012222,1.59156,418.902,108.1836
0.00017,0.0012221,1.59168,418.892,108.3051
0.00018,0.0012219,1.59184,418.894,108.4266
0.00019,0.0012218,1.59202,418.902,108.5481
0.0002,0.0012217,1.5923,418.924,108.6696
0.00021,0.0012216,1.59254,418.948,108.7911
0.00022,0.0012214,1.59282,418.986,108.9207
0.00023,0.0012213,1.59314,419.02,109.0422
0.00024,0.0012212,1.59346,419.058,109.1637
0.00025,0.0012211,1.5938,419.1,109.2933
0.00026,0.0012209,1.59412,419.142,109.4148
0.00027,0.0012208,1.59442,419.182,109.5444
0.00028,0.0012207,1.59472,419.218,109.674
0.00029,0.0012205,1.595,419.252,109.7955
0.0003,0.0012204,1.59528,419.28,109.9251
0.00031,0.0012203,1.59556,419.302,110.0547
0.00032,0.0012201,1.59582,419.318,110.1843
0.00033,0.00122,1.59602,419.334,110.3139
0.00034,0.0012199,1.5962,419.336,110.4435
0.00035,0.0012198,1.59636,419.334,110.5731
0.00036,0.0012196,1.59652,419.326,110.7108
0.00037,0.0012195,1.59664,419.314,110.8404
0.00038,0.0012194,1.59672,419.296,110.97
0.00039,0.0012192,1.59684,419.272,111.1077
0.0004,0.0012191,1.59692,419.242,111.2373
