t [s],Vol [m3],P [bar],T [K],Q loss [W],,,,,,,,,
0,0.0012236,1.617,475.56,118.34375,,,,,,,,,
1.00E-05,1.22E-03,1.6168,475.505,117.700625,,,,,,,,,
2.00E-05,1.22E-03,1.61655,475.39,118.1753125,,,,,,,,,
3.00E-05,1.22E-03,1.616375,475.2725,118.286875,,,,,,,,,
4.00E-05,1.22E-03,1.616125,475.1625,118.400625,,,,,,,,,
5.00E-05,1.22E-03,1.6159,475.0475,118.514375,,,,,,,,,
6.00E-05,1.22E-03,1.6157,474.9375,118.628125,,,,,,,,,
7.00E-05,1.22E-03,1.61545,474.83,118.741875,,,,,,,,,
8.00E-05,1.22E-03,1.615275,474.725,118.855625,,,,,,,,,
9.00E-05,1.22E-03,1.615125,474.625,118.969375,,,,,,,,,
0.0001,0.0012225,1.61495,474.5275,119.0853125,,,,,,,,,
0.00011,0.0012224,1.6148,474.44,119.1990625,,,,,,,,,
0.00012,0.0012223,1.614675,474.35,119.315,,,,,,,,,
0.00013,0.0012222,1.614575,474.2675,119.4309375,,,,,,,,,
0.00014,0.001222,1.614475,474.1975,119.546875,,,,,,,,,
0.00015,0.0012219,1.6144,474.1325,119.6628125,,,,,,,,,
0.00016,0.0012218,1.6144,474.07,119.77875,,,,,,,,,
0.00017,0.0012216,1.614375,474.02,119.896875,,,,,,,,,
0.00018,0.0012215,1.6144,473.98,120.0128125,,,,,,,,,
0.00019,0.0012214,1.614475,473.9525,120.1309375,,,,,,,,,
0.0002,0.0012213,1.6146,473.93,120.2490625,,,,,,,,,
0.00021,0.0012211,1.614725,473.915,120.3671875,,,,,,,,,
0.00022,0.001221,1.614875,473.915,120.4853125,,,,,,,,,
0.00023,0.0012209,1.615075,473.925,120.6034375,,,,,,,,,
0.00024,0.0012207,1.615325,473.95,120.7215625,,,,,,,,,
0.00025,0.0012206,1.6156,473.98,120.841875,,,,,,,,,
0.00026,0.0012205,1.615925,474.0225,120.96,,,,,,,,,
0.00027,0.0012204,1.6163,474.0775,121.0803125,,,,,,,,,
0.00028,0.0012202,1.616725,474.1425,121.200625,,,,,,,,,
0.00029,0.0012201,1.617125,474.2175,121.3209375,,,,,,,,,
0.0003,0.00122,1.617575,474.3,121.44125,,,,,,,,,
0.00031,0.0012198,1.6181,474.395,121.56375,,,,,,,,,
0.00032,0.0012197,1.6186,474.4975,121.6840625,,,,,,,,,
0.00033,0.0012196,1.61915,474.61,121.8065625,,,,,,,,,
0.00034,0.0012194,1.619725,474.7225,121.9290625,,,,,,,,,
0.00035,0.0012193,1.620325,474.85,122.0515625,,,,,,,,,
0.00036,0.0012192,1.620925,474.975,122.1740625,,,,,,,,,
0.00037,0.001219,1.621575,475.1075,122.2965625,,,,,,,,,
0.00038,0.0012189,1.622225,475.2425,122.4190625,,,,,,,,,
0.00039,0.0012188,1.622875,475.38,122.54375,,,,,,,,,
0.0004,0.0012186,1.623525,475.52,122.66625,,,,,,,,,
0.00041,0.0012185,1.624175,475.6575,122.7909375,,,,,,,,,
0.00042,0.0012184,1.62485,475.7975,122.915625,,,,,,,,,
0.00043,0.0012182,1.6255,475.9375,123.0403125,,,,,,,,,
0.00044,0.0012181,1.626175,476.075,123.165,,,,,,,,,
0.00045,0.0012179,1.6268,476.21,123.291875,,,,,,,,,
0.00046,0.0012178,1.627475,476.3425,123.4165625,,,,,,,,,
0.00047,0.0012177,1.628075,476.4725,123.5434375,,,,,,,,,
0.00048,0.0012175,1.6287,476.6,123.6703125,,,,,,,,,
0.00049,0.0012174,1.629325,476.72,123.7971875,,,,,,,,,
0.0005,0.0012173,1.629925,476.84,123.9240625,,,,,,,,,
0.00051,0.0012171,1.6305,476.955,124.0509375,,,,,,,,,
0.00052,0.001217,1.631075,477.0625,124.1778125,,,,,,,,,
0.00053,0.0012168,1.6316,477.17,124.306875,,,,,,,,,
0.00054,0.0012167,1.63215,477.2725,124.4359375,,,,,,,,,
0.00055,0.0012166,1.632675,477.37,124.565,,,,,,,,,
0.00056,0.0012164,1.6332,477.465,124.6940625,,,,,,,,,
0.00057,0.0012163,1.6337,477.55,124.823125,,,,,,,,,
0.00058,0.0012161,1.634175,477.6375,124.9521875,,,,,,,,,
0.00059,0.001216,1.63465,477.72,125.0834375,,,,,,,,,
0.0006,0.0012158,1.6351,477.7975,125.2125,,,,,,,,,
0.00061,0.0012157,1.63555,477.87,125.34375,,,,,,,,,
0.00062,0.0012156,1.63595,477.94,125.475,,,,,,,,,
0.00063,0.0012154,1.6364,478.0075,125.60625,,,,,,,,,
0.00064,0.0012153,1.6368,478.0675,125.7396875,,,,,,,,,
0.00065,0.0012151,1.637175,478.1275,125.8709375,,,,,,,,,
0.00066,0.001215,1.6376,478.18,126.004375,,,,,,,,,
0.00067,0.0012148,1.637925,478.225,126.135625,,,,,,,,,
0.00068,0.0012147,1.638325,478.2725,126.2690625,,,,,,,,,
0.00069,0.0012145,1.638625,478.3125,126.4025,,,,,,,,,
0.0007,0.0012144,1.63895,478.345,126.538125,,,,,,,,,
0.00071,0.0012143,1.6392,478.375,126.6715625,,,,,,,,,
0.00072,0.0012141,1.6395,478.3975,126.8071875,,,,,,,,,
0.00073,0.001214,1.639775,478.41,126.9428125,,,,,,,,,
0.00074,0.0012138,1.639975,478.4225,127.07625,,,,,,,,,
0.00075,0.0012137,1.640225,478.4225,127.2140625,,,,,,,,,
